from;to;weight;type
0;1;5;undirected
0;2;4;undirected
0;10;1;undirected
0;11;1;undirected
1;0;5;undirected
1;2;6;undirected
1;5;1;undirected
1;9;1;undirected
1;11;3;undirected
2;0;4;undirected
2;1;6;undirected
2;6;1;undirected
2;11;1;undirected
3;4;4;undirected
3;5;5;undirected
3;8;1;undirected
3;11;1;undirected
4;3;4;undirected
4;5;6;undirected
4;11;1;undirected
5;1;1;undirected
5;3;5;undirected
5;4;6;undirected
6;2;1;undirected
6;7;5;undirected
6;8;4;undirected
7;6;5;undirected
7;8;6;undirected
7;11;1;undirected
8;3;1;undirected
8;6;4;undirected
8;7;6;undirected
9;1;1;undirected
9;10;6;undirected
9;11;3;undirected
10;0;1;undirected
10;9;6;undirected
10;11;5;undirected
11;0;1;undirected
11;1;3;undirected
11;2;1;undirected
11;3;1;undirected
11;4;1;undirected
11;7;1;undirected
11;9;3;undirected
11;10;5;undirected
